operationName
failureDelivery
checkNoItems
receptionProduce
notifyProduceResult
checkItems
notifyDeliveryResult
delivery
canNotDelivery
produce
deliverySuccess
canNotProduce
rankUp
moveToDeliveryProductStep
addBalance
refundAndStopSelling
moveToClosureState
receptionDelivery
order
