Run,Step,borrowed_books,continued_login_confirmation,student_login_status,borrowable_books,starting,guest_user_login_status
3,6,"{mk_book(mk_token(""book_A""), mk_token(""sato"")), mk_book(mk_token(""book_B""), mk_token(""suzuki""))}",{},"{mk_student(1, true, mk_token(""sato""), {mk_token(""book_A"")}, true), mk_student(2, true, mk_token(""suzuki""), {mk_token(""book_B"")}, true)}",{},{},{}
4,1,{},{},"{mk_student(1, true, mk_token(""sato""), {}, true), mk_student(2, true, mk_token(""suzuki""), {}, true)}","{mk_book(mk_token(""book_A""), nil), mk_book(mk_token(""book_B""), nil)}",{},{}
4,2,"{mk_book(mk_token(""book_B""), mk_token(""sato""))}","{mk_student(1, true, mk_token(""sato""), {mk_token(""book_B"")}, true)}","{mk_student(1, true, mk_token(""sato""), {mk_token(""book_B"")}, true), mk_student(2, true, mk_token(""suzuki""), {}, true)}","{mk_book(mk_token(""book_A""), nil)}",{},{}
4,3,"{mk_book(mk_token(""book_B""), mk_token(""sato""))}",{},"{mk_student(1, true, mk_token(""sato""), {mk_token(""book_B"")}, true), mk_student(2, true, mk_token(""suzuki""), {}, true)}","{mk_book(mk_token(""book_A""), nil)}",{},{}
4,4,"{mk_book(mk_token(""book_A""), mk_token(""suzuki"")), mk_book(mk_token(""book_B""), mk_token(""sato""))}","{mk_student(2, true, mk_token(""suzuki""), {mk_token(""book_A"")}, true)}","{mk_student(1, true, mk_token(""sato""), {mk_token(""book_B"")}, true), mk_student(2, true, mk_token(""suzuki""), {mk_token(""book_A"")}, true)}",{},{},{}
4,5,"{mk_book(mk_token(""book_A""), mk_token(""suzuki"")), mk_book(mk_token(""book_B""), mk_token(""sato""))}",{},"{mk_student(1, true, mk_token(""sato""), {mk_token(""book_B"")}, true), mk_student(2, true, mk_token(""suzuki""), {mk_token(""book_A"")}, true)}",{},{},{}
5,1,{},{},"{mk_student(1, true, mk_token(""sato""), {}, true), mk_student(2, true, mk_token(""suzuki""), {}, true)}","{mk_book(mk_token(""book_A""), nil), mk_book(mk_token(""book_B""), nil)}",{},{}
5,2,"{mk_book(mk_token(""book_B""), mk_token(""sato""))}","{mk_student(1, true, mk_token(""sato""), {mk_token(""book_B"")}, true)}","{mk_student(1, true, mk_token(""sato""), {mk_token(""book_B"")}, true), mk_student(2, true, mk_token(""suzuki""), {}, true)}","{mk_book(mk_token(""book_A""), nil)}",{},{}
5,3,"{mk_book(mk_token(""book_A""), mk_token(""suzuki"")), mk_book(mk_token(""book_B""), mk_token(""sato""))}","{mk_student(1, true, mk_token(""sato""), {mk_token(""book_B"")}, true), mk_student(2, true, mk_token(""suzuki""), {mk_token(""book_A"")}, true)}","{mk_student(1, true, mk_token(""sato""), {mk_token(""book_B"")}, true), mk_student(2, true, mk_token(""suzuki""), {mk_token(""book_A"")}, true)}",{},{},{}
5,4,"{mk_book(mk_token(""book_A""), mk_token(""suzuki"")), mk_book(mk_token(""book_B""), mk_token(""sato""))}","{mk_student(2, true, mk_token(""suzuki""), {mk_token(""book_A"")}, true)}","{mk_student(1, true, mk_token(""sato""), {mk_token(""book_B"")}, true), mk_student(2, true, mk_token(""suzuki""), {mk_token(""book_A"")}, true)}",{},"{mk_student(1, true, mk_token(""sato""), {mk_token(""book_B"")}, false)}",{}
